Index_Name,task_time,g1_p,g1_c,s1_p,s1_c,a_p,a_c,s2_p,s2_c,g2_p,g2_c,s3_p,s3_c
18,23,17,14,34,3,44,12,32,4,31,14,32,4
30,15,14,5,20,4,25,5,21,3,19,5,21,4
73,20,16,8,26,5,33,8,26,5,25,8,26,5
33,14,12,5,19,4,23,6,19,4,17,5,19,4
90,18,11,10,24,3,31,11,24,3,20,9,22,3
4,20,18,7,27,4,34,7,27,4,26,7,27,5
76,28,16,9,28,6,34,11,29,8,26,10,28,6
77,18,15,5,21,4,26,5,23,4,21,6,23,4
12,25,23,14,47,2,51,23,47,2,29,8,32,2
31,19,13,8,22,6,29,8,22,5,21,8,22,5
55,22,18,10,30,5,39,10,30,4,28,10,30,5
88,25,16,14,31,3,44,13,31,5,30,13,31,4
26,18,16,11,28,2,38,11,28,2,27,11,28,2
42,18,16,9,27,3,35,9,27,3,26,9,27,3
69,28,19,9,31,7,38,10,31,7,30,10,31,7
15,19,16,9,27,4,35,9,27,4,25,9,27,4
40,25,17,11,29,5,39,10,29,5,28,11,29,6
96,19,15,8,25,5,31,8,25,5,23,8,25,5
9,27,19,11,32,6,42,11,32,5,31,11,32,5
72,22,15,15,32,3,46,15,32,3,30,15,32,3
11,28,17,14,36,3,45,11,30,7,28,11,30,6
47,21,15,10,26,5,35,10,26,5,25,10,26,4
85,16,13,6,20,3,25,6,21,3,19,7,22,4
28,16,14,9,25,3,32,9,25,3,23,9,25,3
93,18,12,12,25,2,36,12,25,2,24,12,25,3
5,18,12,6,21,3,25,7,21,3,18,6,21,5
66,19,14,9,25,3,32,9,25,3,23,9,25,5
65,22,13,8,22,6,29,8,22,6,21,8,22,6
35,19,14,10,26,4,35,10,26,4,25,10,26,4
16,20,19,7,27,5,34,7,28,5,26,7,28,5
49,17,10,10,22,3,31,10,22,3,21,10,22,3
34,14,10,6,18,2,24,6,18,3,17,6,18,3
7,25,16,10,29,4,36,11,29,5,25,10,28,6
95,26,15,12,31,5,39,9,26,6,25,9,26,6
27,20,14,10,25,4,34,10,25,4,24,10,25,4
19,22,17,12,30,4,41,12,31,4,29,12,30,4
81,23,19,13,29,4,46,8,29,4,27,8,29,4
25,19,15,11,29,3,37,10,27,4,25,10,27,4
62,18,14,9,29,3,32,13,28,4,18,6,21,3
13,19,17,7,25,4,32,8,26,3,25,8,26,3
24,19,20,10,32,3,41,10,32,3,31,10,32,3
3,16,13,6,21,4,27,6,21,3,20,6,21,3
17,20,15,6,23,5,28,6,23,5,21,6,23,4
38,16,12,11,25,3,34,11,25,3,23,5,19,3
8,20,17,5,24,5,28,5,24,5,22,5,24,5
78,23,14,10,28,5,34,13,28,5,27,13,28,5
6,23,13,9,24,5,32,10,25,6,22,9,24,5
64,21,15,9,25,5,34,10,27,5,25,10,27,5
36,19,13,6,21,5,26,6,21,5,19,6,21,5
89,19,17,10,30,2,38,12,31,3,29,12,30,2
56,20,17,8,28,5,34,9,28,5,25,8,26,4
99,13,15,4,21,2,25,4,21,2,20,4,21,3
54,16,10,7,19,3,24,6,18,3,17,7,19,4
43,20,16,8,26,5,33,8,26,5,24,8,25,5
50,17,11,7,18,4,26,5,18,4,17,5,18,4
67,17,13,5,20,4,24,5,20,4,18,5,20,4
46,17,13,8,23,3,29,8,23,3,21,8,23,3
68,23,15,14,31,3,44,14,31,3,30,14,31,3
61,20,16,10,30,4,36,8,26,4,28,12,30,4
97,22,15,10,27,4,36,10,27,4,25,10,27,4
79,24,13,9,24,7,32,9,24,6,23,9,24,6
41,17,11,10,22,2,31,10,22,2,21,10,22,2
58,20,15,8,25,5,31,8,25,5,23,8,25,5
48,21,16,11,28,4,38,11,28,4,26,11,28,4
98,16,18,6,26,3,31,6,26,3,24,6,26,3
57,20,13,7,18,3,29,12,26,4,24,11,26,4
75,18,16,5,23,4,27,5,23,5,21,5,23,4
32,16,11,7,21,3,27,7,21,3,19,7,21,3
94,17,15,9,24,3,34,9,25,3,23,8,24,3
59,22,15,13,29,4,41,13,30,4,28,13,29,4
63,26,17,10,29,7,38,10,29,7,27,10,29,7
84,22,18,14,33,3,45,14,33,3,31,14,33,2
37,17,13,7,22,4,28,7,22,4,21,7,22,2
29,18,14,11,26,3,36,11,26,3,25,11,26,3
1,17,13,6,21,5,27,7,22,3,19,7,22,4
52,14,22,5,28,2,32,5,28,2,27,7,30,4
21,21,16,10,28,4,37,10,28,4,26,10,28,5
2,18,12,7,21,4,27,8,22,4,20,7,21,4
23,17,12,8,22,4,30,8,22,4,21,8,22,4
87,21,16,9,27,5,35,9,27,5,26,9,27,5
91,18,16,9,26,3,34,9,26,4,25,9,27,3
74,17,18,6,26,4,30,6,25,3,24,6,26,3
86,25,17,9,27,6,36,10,28,5,27,10,28,6
82,21,16,6,24,5,30,7,25,6,22,7,25,6
20,20,14,14,30,2,43,14,30,2,28,14,30,2
60,20,16,6,25,4,30,8,26,6,25,8,26,6
71,22,17,8,27,5,34,8,27,5,25,8,27,6
14,23,16,10,27,6,36,10,27,6,26,10,27,6
92,21,17,10,30,4,37,12,30,4,25,11,29,4
51,16,13,5,20,3,24,5,20,4,18,6,21,4
