INFO 09-03 09:15:33 async_llm_engine.py:282] num_prefill: 1, num_decode: 0, num_tokens: 1025. schedule: 0.43ms(0.21%), comm: 5.69ms(2.78%), swap: 0.01ms(0.00%), execute: 198.59ms(97.01%), cur_step: 204.71ms
INFO 09-03 09:15:33 async_llm_engine.py:282] num_prefill: 1, num_decode: 0, num_tokens: 1025. schedule: 0.30ms(0.16%), comm: 2.16ms(1.14%), swap: 0.00ms(0.00%), execute: 186.84ms(98.70%), cur_step: 189.30ms
INFO 09-03 09:15:33 async_llm_engine.py:282] num_prefill: 1, num_decode: 0, num_tokens: 685. schedule: 0.57ms(0.43%), comm: 2.07ms(1.56%), swap: 0.00ms(0.00%), execute: 129.92ms(98.01%), cur_step: 132.56ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 2, num_decode: 0, num_tokens: 1615. schedule: 0.86ms(0.31%), comm: 2.13ms(0.78%), swap: 0.00ms(0.00%), execute: 270.57ms(98.91%), cur_step: 273.56ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 1, num_decode: 0, num_tokens: 713. schedule: 0.73ms(0.54%), comm: 2.08ms(1.53%), swap: 0.00ms(0.00%), execute: 132.62ms(97.93%), cur_step: 135.43ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 1.01ms(4.63%), comm: 2.18ms(9.99%), swap: 0.00ms(0.01%), execute: 18.61ms(85.37%), cur_step: 21.80ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.83ms(4.11%), comm: 2.08ms(10.24%), swap: 0.00ms(0.01%), execute: 17.37ms(85.64%), cur_step: 20.29ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.75ms(3.62%), comm: 2.59ms(12.45%), swap: 0.00ms(0.01%), execute: 17.43ms(83.92%), cur_step: 20.76ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.87ms(4.01%), comm: 2.38ms(11.00%), swap: 0.00ms(0.02%), execute: 18.37ms(84.97%), cur_step: 21.63ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.86ms(4.22%), comm: 2.56ms(12.54%), swap: 0.00ms(0.01%), execute: 17.01ms(83.23%), cur_step: 20.44ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.80ms(4.04%), comm: 2.18ms(11.06%), swap: 0.00ms(0.01%), execute: 16.75ms(84.90%), cur_step: 19.73ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.68ms(3.41%), comm: 2.21ms(11.04%), swap: 0.01ms(0.04%), execute: 17.15ms(85.51%), cur_step: 20.05ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 1.48ms(7.09%), comm: 2.13ms(10.21%), swap: 0.00ms(0.01%), execute: 17.23ms(82.68%), cur_step: 20.84ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.86ms(4.30%), comm: 2.62ms(13.13%), swap: 0.00ms(0.01%), execute: 16.49ms(82.57%), cur_step: 19.97ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.85ms(4.22%), comm: 2.03ms(10.02%), swap: 0.00ms(0.01%), execute: 17.36ms(85.76%), cur_step: 20.24ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.87ms(4.47%), comm: 2.26ms(11.67%), swap: 0.00ms(0.01%), execute: 16.24ms(83.84%), cur_step: 19.37ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.88ms(4.58%), comm: 1.84ms(9.62%), swap: 0.00ms(0.01%), execute: 16.42ms(85.79%), cur_step: 19.13ms
INFO 09-03 09:15:34 async_llm_engine.py:282] num_prefill: 0, num_decode: 6, num_tokens: 6. schedule: 0.49ms(2.52%), comm: 2.13ms(10.88%), swap: 0.00ms(0.01%), execute: 16.96ms(86.59%), cur_step: 19.58ms
