,generate_queries_p,generate_queries_c,generate_solutions_p,generate_solutions_c
0,8,5,7,4
1,9,3,8,6
2,9,3,8,4
3,9,4,8,3
4,9,6,8,4
5,8,3,7,4
6,9,3,8,7
7,8,4,7,3
8,9,3,8,4
9,8,4,7,8
10,10,2,9,3
11,8,3,7,4
12,8,3,7,4
13,8,3,7,3
14,8,2,7,3
15,8,2,7,3
16,8,3,7,3
17,10,2,9,7
18,8,3,7,4
19,9,3,8,3
20,9,5,8,5
21,9,4,8,4
22,8,5,7,2
23,7,2,6,2
24,8,2,7,3
25,8,2,8,5
26,8,6,7,5
27,8,2,7,4
28,7,3,6,3
29,8,4,7,2
30,7,4,6,2
31,7,2,6,4
32,11,3,10,2
33,9,6,8,5
34,7,3,6,2
35,7,4,6,2
36,8,2,7,4
37,8,5,7,4
38,11,3,10,6
39,8,2,7,2
40,9,4,8,7
41,11,2,10,2
42,7,3,6,3
43,9,4,7,4
44,8,2,7,4
45,7,2,6,3
46,10,2,9,5
47,7,3,6,3
48,8,3,7,3
49,7,2,6,5
50,9,2,8,4
51,8,3,7,3
52,8,3,7,3
53,7,2,6,2
54,8,3,7,2
55,7,2,6,0
56,8,2,7,5
57,7,3,6,5
58,7,4,6,3
59,8,3,7,6
60,8,2,7,2
61,8,2,7,5
62,8,3,7,5
63,10,2,9,0
64,10,2,9,5
65,8,3,7,4
66,7,2,7,3
67,9,3,9,4
68,10,4,10,5
69,8,5,8,4
70,8,4,7,5
71,9,3,8,5
72,9,4,8,3
73,9,4,8,4
74,8,4,8,4
75,8,2,7,6
76,8,3,7,4
77,8,2,7,3
78,13,3,12,4
79,9,2,8,3
80,8,2,7,4
81,13,12,12,10
82,7,2,7,5
83,8,2,7,9
84,8,2,7,3
85,7,5,6,3
86,9,2,8,3
87,10,6,9,4
88,9,4,8,5
89,8,2,7,6
90,8,4,7,3
91,9,4,8,4
92,8,3,7,3
93,8,3,8,6
94,8,4,7,5
95,8,5,7,0
96,8,2,7,6
97,7,2,7,2
98,7,3,7,4
99,10,2,9,1
100,10,2,9,4
101,8,3,7,3
102,8,2,7,3
103,9,3,8,4
104,8,5,7,4
105,9,6,8,5
106,9,1,8,6
107,9,3,8,6
108,9,4,8,5
109,12,4,11,5
110,10,4,9,5
111,8,3,7,2
112,9,2,8,5
113,9,5,8,3
114,8,3,7,5
115,11,6,10,5
116,8,3,7,4
117,9,2,8,5
118,10,3,9,5
119,10,2,9,5
120,9,4,8,4
121,7,4,6,4
122,9,4,8,4
123,11,2,10,8
124,11,3,11,8
125,9,2,8,1
126,8,4,7,5
127,11,3,11,2
128,9,3,8,5
129,15,4,14,10
130,12,1,11,7
131,7,2,7,4
132,8,2,7,5
133,8,4,7,2
134,10,4,8,4
135,8,4,7,4
136,9,5,8,5
137,9,3,8,5
138,8,3,7,4
139,9,2,8,5
140,8,0,7,5
141,11,3,10,6
142,10,6,9,4
143,10,3,9,5
144,9,3,9,4
145,9,4,8,6
146,8,4,7,6
147,10,2,9,13
148,10,2,10,7
149,11,0,10,3
150,8,3,7,5
151,9,5,7,3
152,10,4,9,3
153,13,5,12,5
154,8,3,7,4
155,8,3,7,4
156,9,3,8,6
157,9,3,8,4
158,8,3,7,5
159,13,3,12,6
160,11,4,10,6
161,8,2,7,4
162,8,2,7,3
163,8,3,7,5
